transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
x squared plus y squared minus z squared equals four ,$x^{2}+y^{2}-z^{2}=4$,https://www.youtube.com/watch?v=2XraaWefBd8,x squared plus y squared minus z squared equals 4.,x squared plus y squared minus z squared equals four.
4x plus 2y minus 2z,$4x+2y-2z$,https://www.youtube.com/watch?v=2XraaWefBd8,4x plus 2y minus 2z.,4x plus 2y minus 2z.
two delta y minus two delta z equals zero,$2\Delta y-2\Delta z= $,https://www.youtube.com/watch?v=2XraaWefBd8,2 delta y minus 2 delta z equals 0.,2 delta y minus 2 delta z equals 0.
x minus two,$\displaystyle x-2$,https://www.youtube.com/watch?v=2XraaWefBd8,X minus 2.,x minus 2
two times y minus one minus two times z minus one equals zero,$2(y-1)-2(z-1)=0$,https://www.youtube.com/watch?v=2XraaWefBd8,2 times y minus 1 minus 2 times z minus 1 equals 0.,2 times y minus 1 minus 2 times z minus 1 equals 0.
 y of s equals y0 plus b times s,$y(s)=y_{0}+bs$,https://www.youtube.com/watch?v=2XraaWefBd8,y of s equals y0 plus b times s.,y of s equals y0 plus b times s.
gradient w dot u,$\nabla w \cdot \mathbf{u}$,https://www.youtube.com/watch?v=2XraaWefBd8,"Everyone, get up.",.
PV equals nRT,$\mathrm{PV}=\mathrm{nRT}$,https://www.youtube.com/watch?v=15HVevXRsBA,PV equals enough T.,PV equals n of t.
square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=15HVevXRsBA,square root of x square plus y square.,square root of x squared plus y squared.
f sub z equals lambda g sub z,$f_{z}=\lambda g_{z}$,https://www.youtube.com/watch?v=15HVevXRsBA,f sub z equals lambda g sub z.,fz equals lambda gz.
f sub y equals lambda g sub y,$f_{y}=\lambda g_{y}$,https://www.youtube.com/watch?v=15HVevXRsBA,f sub y equals lambda g sub y,F sub y equals lambda g sub y.
f sub y is 2y ,$f_{y}=2{y}$,https://www.youtube.com/watch?v=15HVevXRsBA,So F sub Y is 2 Y.,"So, f sub y is 2y."
g sub y is x,$g_{y}=x$,https://www.youtube.com/watch?v=15HVevXRsBA,G sub y is x.,g sub y is x.
g equals c,$g = c$,https://www.youtube.com/watch?v=15HVevXRsBA,JC,J equals C.
x squared plus nine over x squared,$x^{2}+\frac{9}{x^{2}}$,https://www.youtube.com/watch?v=15HVevXRsBA,x squared plus 9 of l x squared.,x squared plus nine over x squared.
2x minus lambda y equals zero,$2x-\lambda y=0$,https://www.youtube.com/watch?v=15HVevXRsBA,2x minus lambda y equals 0.,2x minus lambda y equals zero.
lambda minus two times xy equals zero,$\lambda-2xy=0$,https://www.youtube.com/watch?v=15HVevXRsBA,lambda minus 2 times xy equals 0.,"lambda minus two times x, y equals zero."
negative four plus lambda squared,$-4+\lambda^{2}$,https://www.youtube.com/watch?v=15HVevXRsBA,negative 4 plus lambda squared,negative four plus lambda squared.
lambda squared equals four,$\lambda^{2}=4$,https://www.youtube.com/watch?v=15HVevXRsBA,Nam dash squared equals four.,lambda squared equals four.
lambda is plus or minus two,$\lambda=\pm2$,https://www.youtube.com/watch?v=15HVevXRsBA,lambda is plus or minus 2.,lambda is plus or minus two.
 x squared equals three,$\displaystyle x^{2}=3$,https://www.youtube.com/watch?v=15HVevXRsBA,x squared equals 3.,x squared equals three.
one half of a1u1 ,$\frac{1}{2}a_1u_1$,https://www.youtube.com/watch?v=15HVevXRsBA,one half of A1 U1,1 half of a 1 u 1.
partial f over partial u one,$\partial f \over \partial u_{1}$,https://www.youtube.com/watch?v=15HVevXRsBA,Tarshal F and Tarshal U1.,Partial F over partial u1.
2x dx ,"$2x, \mathrm{d}x$",https://www.youtube.com/watch?v=23xbkrpQuAo,2x dx,2x dx.
x equals two,$\mathcal{x}=2$,https://www.youtube.com/watch?v=23xbkrpQuAo,x equals 2,x equals 2.
y plus 3z squared,$y+3z^{2}$,https://www.youtube.com/watch?v=23xbkrpQuAo,Yale Newton u2-2.,y plus phrasie squared.
dz equals minus one over six times four dx plus dy,$dz=-\frac{1}{6}(4dx+dy)$,https://www.youtube.com/watch?v=23xbkrpQuAo,dz equals minus 1 over 6 times 4 dx plus dy.,d z equals minus one over six times four dx plus dy.
partial z over partial x is minus four over six,$\displaystyle \frac{\partial z}{\partial x} = -\frac{4}{6}$,https://www.youtube.com/watch?v=23xbkrpQuAo,partial z of a partial x is minus 4 over 6.,Partial z over partial x is minus 4 over 6.
dz equals minus four sixth dx,$dz=-4x^{6}dx$,https://www.youtube.com/watch?v=23xbkrpQuAo,dc equals minus 4.6 dx.,d z equals minus 4.6 dx.
partial z over partial x is minus gx over gz,$\frac{\partial z}{\partial x} = -\frac{{g}_{x}}{{g}_{z}}$,https://www.youtube.com/watch?v=23xbkrpQuAo,x is minus g x over g z.,partial z over partial x is minus gx over gz.
b is a over cosine theta,$\displaystyle \mathcal{b} = \frac{a}{\cos\theta}$,https://www.youtube.com/watch?v=23xbkrpQuAo,B is A of a cosine theta.,B is A over cosine theta.
one half of a squared tangent theta,$\frac{1}{2}a^{2}\tan\theta$,https://www.youtube.com/watch?v=23xbkrpQuAo,1 half of a square tangent theta.,1.5 of a square tangent theta.
zero equals dA equals cosine theta dB minus B sine theta d theta,$0=dA=\cos\theta dB-B\sin\theta d\theta$,https://www.youtube.com/watch?v=23xbkrpQuAo,0 equals dA equals cosine theta dB minus B sine theta d theta.,zero equals dA equals cosine theta dB minus b sine theta d theta.
 a equals one half ab sine theta,$A=\frac{1}{2}ab\sin\theta$,https://www.youtube.com/watch?v=23xbkrpQuAo,is a equals 1 half AB sine theta.,is a equals one-half a b sine theta.
one half of ab times sine theta times tangent theta plus cosine theta d theta.,"$\displaystyle \frac{1}{2}ab\sin \theta\tan \theta+\cos \theta\, d\theta$",https://www.youtube.com/watch?v=23xbkrpQuAo,"1 half of a, b times sine theta times tangent theta plus cosine theta d theta.",one-half of ab times sine theta times tangent theta plus cosine theta d theta.
dg is g sub x dx plus g sub y dy plus g sub z dz,$dg =g_{x}dx+g_{y}dy+g_{z}dz$,https://www.youtube.com/watch?v=ChiM2-MV-qM,d3 is g sub x dx plus g sub y dy plus g sub z dz.,dG is g sub x dx plus g sub y dy plus g sub z dz.
 minus fx gz over gx plus fz,$-f_x\frac{gz}{gx}+fz$,https://www.youtube.com/watch?v=ChiM2-MV-qM,minus f x g z over g x plus f z.,minus fx gz over gx plus fz.
"minus g sub z over g sub x, plus partial f over partial z",$-\frac{g_{z}}{g_{x}}+\frac{\partial f}{\partial z}$,https://www.youtube.com/watch?v=ChiM2-MV-qM,"minus g sub z, or minus g sub x plus partial f, or partial z.",minus gz over gx plus partial f over partial z.
gradient F dot product with u,$\nabla F\cdot\mathbf{u}$,https://www.youtube.com/watch?v=ChiM2-MV-qM,The gradient f dot product with you.,The gradient f dot product with u.
 partial h partial y is less than zero,$\partial h/\partial y<0$,https://www.youtube.com/watch?v=ChiM2-MV-qM,The partial H partial Y is less than 0.,"Partial h, partial y is less than zero."
the integral of x squared is x squared times y,$\int x^{2}dx = x^{2}y$,https://www.youtube.com/watch?v=YP_B0AapU0c,The integral of x squared is x squared times y.,The integral of x squared is x squared times y.
the integral of y squared is y cubed over three,$\int y^{2}dy=\frac{y^{3}}{3}$,https://www.youtube.com/watch?v=YP_B0AapU0c,The integral of y squared is y cubed over 3.,The integral of y squared is y cubed over three.
one minus x squared minus one-third ,$1-x^{2}-\frac{1}{3}$,https://www.youtube.com/watch?v=YP_B0AapU0c,1 minus x squared minus 1 third.,1 minus x squared minus one-third.
two thirds x minus one-third x cubed ,$\frac{2}{3}x-\frac{1}{3}x^{3}$,https://www.youtube.com/watch?v=YP_B0AapU0c,2.3x minus 1.3x cubed.,2 3rd x minus 1 3rd x cubed.
y is square root of one minus x squared,$y=\sqrt{1-x^{2}}$,https://www.youtube.com/watch?v=YP_B0AapU0c,y is square root of 1 minus x squared.,y is square root of one minus x squared.
y minus x squared y minus y cubed over three ,$y-x^{2}y-\frac{y^{3}}{3}$,https://www.youtube.com/watch?v=YP_B0AapU0c,y minus x squared y minus y cubed of r3.,y minus x squared y minus y cubed over three.
 root of one minus x squared minus x squared root of one minus x squared minus y minus x squared to the three halves over three,$\displaystyle \sqrt{1-x^{2}}-x^{2}\sqrt{1 - x^{2}}-\frac{(1-x^{2})^\frac{3}{2}}{3}$,https://www.youtube.com/watch?v=YP_B0AapU0c,"of 1 minus x squared minus x squared, root of 1 minus x squared minus 1 minus x squared to the three halves of a three.",root of one minus x squared minus x squared root of one minus x squared minus one minus x squared to the three halves over three.
square root of one minus x squared will be cosine theta,$\sqrt{1-x^{2}}=\cos\theta$,https://www.youtube.com/watch?v=YP_B0AapU0c,square root of 1 minus x squared will be cosine theta.,square root of one minus x squared will be cosine theta.
x squared to a three halves,$x^{3/2}$ ,https://www.youtube.com/watch?v=YP_B0AapU0c,x squared to the three halves.,x squared to the 3 halves.
 two thirds times the integral from zero to pi over two of cosine to the four theta d theta,$\displaystyle \frac{2}{3}\int_{0}^{\pi/2}\cos^{4}\theta d\theta$,https://www.youtube.com/watch?v=YP_B0AapU0c,2 thirds times the integral from 0 to pi over 2 of cosine to the 4 theta d theta.,times the integral from zero to pi over two of cosine to the four theta d theta.
one plus cosine two theta over two,$\frac{1+ \cos{(2\theta)}}{2}$,https://www.youtube.com/watch?v=YP_B0AapU0c,1 plus cosine 2 theta over 2.,1 plus cosine 2 theta over 2.
 one quarter plus one half cosine two theta plus one quarter cosine squared two theta ,$\displaystyle 1/4+1/2\cos2\theta+1/4\cos^{2}2\theta$ ,https://www.youtube.com/watch?v=YP_B0AapU0c,1 quarter plus 1 half cosine 2 theta plus 1 quarter cosine square 2 theta.,1.25 cos 2 theta plus 1.25 cos 2 theta.
 integral from zero to one of integral from x to square root of x of e to the y over y dy dx,$\displaystyle \int_{0}^{1}\int_{x}^{\sqrt{x}}\frac{e^{y}}{y}dydx$,https://www.youtube.com/watch?v=YP_B0AapU0c,integral from 0 to 1 of integral from x to square root of x of e of y of y and d y dx.,integral from zero to one of integral from x to square root of x of e to the y over y dy dx.
 integral from zero to one of e to the y minus y e to the y dy,$\int_{0}^{1}e^{y}-ye^{y}dy$,https://www.youtube.com/watch?v=YP_B0AapU0c,the integral from 0 to 1 of e to the y minus y e to the y dy.,the integral from zero to one of e to the y minus y e to the y dy.
r minus r cubed,$(r-r^{3})$,https://www.youtube.com/watch?v=60e4hdCi1D4,R minus R cubed.,r minus r cubed.
 one-half mr squared omega squared,$\frac{1}{2}mr^{2}\omega^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,"So, one half, and R squared, omega squared.",r squared omega squared.
x squared plus y squared,$x^{2}+y^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,x-queptus wastequad,x squared plus y squared.
pi a to the 4 over 2,$\frac{\pi a^{4}}{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,by 8 to the 4 of R2.,pi a to the fourth over two.
r equals 2a cosine theta,$r=2a\cos\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,r equals to a cosine theta.,r equals 2a cosine theta.
4a to the four cosine to the four theta,$4a^{4}\cos^{4}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,"4, 8, 4, cos 9 to the 4 theta.",4a to the 4 cosine to the 4 theta.
 three halves of pi a to the fourth,$\frac{3}{2}(\pi a^{4})$,https://www.youtube.com/watch?v=60e4hdCi1D4,three halves of tie a to the four.,3 halves of pi a to the 4.
x over a squared plus y over b squared equals one,$x/a^{2}+y/b^{2}=1$,https://www.youtube.com/watch?v=UZb9hZIAvL4,x over a squared plus y over b squared equals 1.,x over a squared plus y over b squared equals one.
u squared plus v squared less than 1,$u^{2}+v^{2}<1$,https://www.youtube.com/watch?v=UZb9hZIAvL4,U square plus V square plus minus one.,u squared plus v squared less than one.
u equals x over a,$u = \frac{\mathcal{x}}{\mathcal{a}}$,https://www.youtube.com/watch?v=UZb9hZIAvL4,u equals x of the a.,u equals x over a.
du is one over a dx,$\mathrm{d}u = \frac{1}{a}\mathrm{d}x$,https://www.youtube.com/watch?v=UZb9hZIAvL4,The U is 1 of ADX.,du is one over adx.
 dv is one over b dy,"$\displaystyle dv = \frac{1}{b} \,dy$",https://www.youtube.com/watch?v=UZb9hZIAvL4,dv is one of our b dy.,dv is one over b dy.
du dv is one over ab dx dy,$\mathrm{d}u\mathrm{d}v= \frac{1}{ab}\mathrm{d}x\mathrm{d}y$,https://www.youtube.com/watch?v=UZb9hZIAvL4,The DUDV is one of our AB DXDY.,du dv is one over ab dx dy.
u equals 3x minus 2y ,"$u=3x-2y,$",https://www.youtube.com/watch?v=UZb9hZIAvL4,u equals 3x minus 2y.,u equals 3x minus 2y.
v equals x plus y,$\displaystyle v=x+y$,https://www.youtube.com/watch?v=UZb9hZIAvL4,v equals x plus y.,v equals x y.
v sub x delta x plus v sub y delta y,$v_{x}\Delta x+v_{y}\Delta y$,https://www.youtube.com/watch?v=UZb9hZIAvL4,V sub x delta x plus V sub y delta y.,delta x plus v sub y delta y.
x equals r cosine theta,$x=r\cos\theta$,https://www.youtube.com/watch?v=UZb9hZIAvL4,x equals r cosine theta.,x equals r cosine theta.
r cosine squared theta plus r sine squared theta,$r\cos^{2}\theta+r\sin^{2}\theta$,https://www.youtube.com/watch?v=UZb9hZIAvL4,R cosine square theta plus R sine square theta,r cosine squared theta plus r sine squared theta.
y equals t squared,$y=t^{2}.$,https://www.youtube.com/watch?v=xrypSZU8cBE,y equals t squared.,y equals t squared.
the integral along C of F dot dr,$\int_{C}\mathbf{F}\cdot d\mathbf{r}$,https://www.youtube.com/watch?v=xrypSZU8cBE,the integral along c of f dot d r.,the integral along C of f dot dr.
negative t squared plus 2t squared,$-t^{2}+2t^{2}$,https://www.youtube.com/watch?v=xrypSZU8cBE,negative t squared plus 2t squared.,negative t squared plus 2t squared.
integral from zero to one of t squared dt,$\int_{0}^{1}t^{2}dt$,https://www.youtube.com/watch?v=xrypSZU8cBE,integral from 0 to 1 of t squared dt.,integral from zero to one of t squared dt.
dr dt times dt,$\frac{dr}{dt}\times dt$,https://www.youtube.com/watch?v=xrypSZU8cBE,DRDT times DT.,dR dt times dt.
M dx plus N dy,"$M\,dx+N\,dy$",https://www.youtube.com/watch?v=xrypSZU8cBE,m dx plus n dy.,m dx plus n dy.
negative y is minus t squared,$ -y=-t^{2}$,https://www.youtube.com/watch?v=xrypSZU8cBE,Negative y is minus t squared.,Negative y is minus t squared.
dy equals 2x dx.,$dy=2xdx$,https://www.youtube.com/watch?v=xrypSZU8cBE,dy equals 2x dx.,dy equals 2x dx.
y equals sine squared theta,$y=\sin^{2}\theta$,https://www.youtube.com/watch?v=xrypSZU8cBE,y equals sine square theta.,y equals sine squared theta.
y equals x squared,$\displaystyle y=x^{2}$,https://www.youtube.com/watch?v=xrypSZU8cBE,y equals x squared.,y equals x squared.
dy equals 2x dx,$dy=2xdx$,https://www.youtube.com/watch?v=xrypSZU8cBE,d y equals 2x dx and,dy equals 2x dx.
F dot t dS,$(F\cdot t dS)$,https://www.youtube.com/watch?v=xrypSZU8cBE,f dot t d s.,F dot t ds.
 x cubed plus y to the fifth,$x^{3}+y^{5}$,https://www.youtube.com/watch?v=xrypSZU8cBE,x cubed plus y to the fifth.,x cubed plus y to the fifth.
xi plus yj,$x\mathbf{i}+y\mathbf{j}$,https://www.youtube.com/watch?v=xrypSZU8cBE,x i plus y g,x i plus y j.
 integral of x dx plus y dy,"$\int x\,dx+y\,dy$",https://www.youtube.com/watch?v=xrypSZU8cBE,Integrate all of x dx plus y dy.,integral of x dx plus y dy.
2pi a squared,$2\pi a^{2}$,https://www.youtube.com/watch?v=xrypSZU8cBE,2 pi A squared.,2pi a squared.
dx is negative a sine theta d theta,$dx=-a\sin\theta d\theta$,https://www.youtube.com/watch?v=xrypSZU8cBE,dx is negative a sine theta d theta.,dx is negative a sine theta d theta.
 integral from 0 to 2pi of a squared times sine squared theta plus cosine squared theta d theta,$\displaystyle \int_{0}^{2\pi}a^{2}(\sin^{2}\theta+\cos^{2}\theta)d\theta$,https://www.youtube.com/watch?v=xrypSZU8cBE,integral from 0 to 2 pi of a squared times sine square theta plus cosine square theta d theta.,integral from zero to 2pi of a squared times sine squared theta plus cosine squared theta d theta.
one-half of sine two theta,$\frac{1}{2}(\sin2\theta)$,https://www.youtube.com/watch?v=o7UCBjGsRTE,So 1.5 of sine 2 theta.,1.5 sine two theta.
 f sub x dx plus f sub y dy,$f_{x}dx+f_{y}dy$,https://www.youtube.com/watch?v=o7UCBjGsRTE,f sub x dx plus f sub y dy.,f sub x dx plus f sub y dy.
dx becomes x prime of t dt,$\displaystyle d\mathbf{x}=\mathbf{x}^{\prime}(t)dt$,https://www.youtube.com/watch?v=o7UCBjGsRTE,dx becomes x prime of t dt,dx becomes x prime of t dt.
dy becomes y prime of t dt,$dy=y^{\prime}(t)dt$,https://www.youtube.com/watch?v=o7UCBjGsRTE,DY becomes Y prime of TDD.,dy becomes y prime of t dt.
 the integral of f sub x times dx  dt plus f sub y times dy dt,$\int f_{x}\frac{dx}{dt}+f_{y}\frac{dy}{dt}$ ,https://www.youtube.com/watch?v=o7UCBjGsRTE,the integral of f sub x times dx dt plus f sub y times dy dt,the integral of f sub x times dx dt plus f sub y times dy dt.
 integral from t0 to t1 of dF dt dt,$\displaystyle \int_{t_{0}}^{t_{1}}\frac{dF}{dt}dt$,https://www.youtube.com/watch?v=o7UCBjGsRTE,integral from t 0 to t 1 of d F d t d t.,integral from t0 to t1 of df dt dt.
three y squared plus four x squared,$3y^{2}+4x^{2}$,https://www.youtube.com/watch?v=z5TPjZrsp2k,3 y squared plus 4 x squared.,3y squared plus 4x squared.
four x squared plus eight xy,$4x^{2}+8xy$,https://www.youtube.com/watch?v=z5TPjZrsp2k,4x squared plus 8x y.,4x squared plus 8xy.
 four thirds x one cubed,$\frac{4}{3}x_{1}^{3}$,https://www.youtube.com/watch?v=z5TPjZrsp2k,4 ferns x1 cubed.,four-thirds x1 cubed.
y cubed plus 4x1 squared y ,$y^{3}+4x_1^{2}y$,https://www.youtube.com/watch?v=z5TPjZrsp2k,y cubed plus 4x1 squared y.,y cubed plus 4x1 squared y.
f of x one and y one is four thirds x one cubed plus y one cubed plus four x one squared y one,"$\displaystyle f(x_{1},y_{1})=\frac{4}{3}x_{1}^{3}+y_{1}^{3}+4x_{1}^{2}y_{1}$",https://www.youtube.com/watch?v=z5TPjZrsp2k,f of x1 and y1 is 4th hertz x1 cubed plus y1 cubed plus 4 x1 squared y1.,F of x1 and y1 is four-thirds x1 cubed plus y1 cubed plus four x1 squared y1.
4 x squared plus 8xy,$4x^{2}+8xy$,https://www.youtube.com/watch?v=z5TPjZrsp2k,4x squared plus 8xy.,4x squared plus 8xy.
f sub y is three y squared plus four x squared,$f_{y}=3y^{2}+4x^{2}$,https://www.youtube.com/watch?v=z5TPjZrsp2k,F sub y is freeway squared plus 4x squared.,F sub y is three y squared plus four x squared.
line integral along C of y e to the minus x dx plus one-half of x squared minus e to the minus x dy,$\displaystyle \oint_{C}({y}e^{-x})dx+(\frac{1}{2}x^{2}-e^{-x})dy$,https://www.youtube.com/watch?v=tYdoS0tkAHA,the line integral along c of y e to the minus x dx plus 1 half of x squared minus e to the minus x dy.,the line integral along C of y e to the minus x dx plus one half of x squared minus e to the minus x dy.
x equals two plus cosine theta,$x=2+\cos\theta$,https://www.youtube.com/watch?v=tYdoS0tkAHA,x equals 2 plus cosine theta.,x equals two plus cosine theta.
dx equals minus sine theta d theta,$dx=-\sin\theta d\theta$,https://www.youtube.com/watch?v=tYdoS0tkAHA,dx equals minus sine theta d theta.,dx equals minus sine theta d theta.
Nx minus My dA,$\displaystyle (Nx - My)dA$,https://www.youtube.com/watch?v=tYdoS0tkAHA,x-my-da,of nx minus my dA.
y equals f2 of x,$y =\mathcal{f}_{2}(x)$,https://www.youtube.com/watch?v=tYdoS0tkAHA,y equals f 12 x.,y equals f to f x.
integral from b to a of M of x and f2 of x dx,$\displaystyle \int_{b}^{a}M(x)(f_{2}(x))dx$,https://www.youtube.com/watch?v=tYdoS0tkAHA,the integral from B to A of m of x and f2 of x dx.,the integral from b to a of m of x and f2 of x dx.
M of x f two of x minus M of x f one of x,$\displaystyle (M(x)f_{2}(x))-(M(x)f_{1}(x))$,https://www.youtube.com/watch?v=tYdoS0tkAHA,"x, minus m of x f1 of x.","x, f2 of x minus m of x, f1 of x."
square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=_CdoRiNSrqI,square root of x-square plus y-square.,square root of x squared plus y squared.
the double integral of P sub x plus Q sub y dA,$\iint(P_{x}+Q_{y})dA$ ,https://www.youtube.com/watch?v=_CdoRiNSrqI,the double integral of p sub x plus q sub y dA.,the double integral of P sub x plus Q sub y dA.
minus yi plus xj over x squared plus y squared,$\frac{-yi+{xj}}{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=PnPIqh7Frlw,minus yi plus xj over x squared plus y squared.,minus yi plus xj over x squared plus y squared.
u equals one plus t squared,$u=1+t^{2}$,https://www.youtube.com/watch?v=PnPIqh7Frlw,u equals 1 plus t squared.,u equals one plus t squared.
the curl of f which is Nx minus My,$\displaystyle \operatorname{\nabla}\times F=Nx-My$,https://www.youtube.com/watch?v=PnPIqh7Frlw,"the curl of f, which is nx minus mi.","The curl of F, which is nx minus my."
xy minus x squared,$xy-x^{2}$,https://www.youtube.com/watch?v=PnPIqh7Frlw,"x, y, minus x squared.",x y minus x squared.
z equals x squared plus y squared,$z=x^{2}+y^{2}$,https://www.youtube.com/watch?v=44R5HgbrUmc,Z equals x equals y squared.,z equals x squared plus y squared.
z equals four minus x squared minus y squared,$z=4-x^{2}-y^{2}$,https://www.youtube.com/watch?v=44R5HgbrUmc,z equals four minus x squared minus y squared.,z equals 4 minus x squared minus y squared.
two x squared plus two y squared less than four,$2x^{2}+2y^{2}<4$,https://www.youtube.com/watch?v=44R5HgbrUmc,2x squared is 2y squared Lisbon 4,2x squared plus 2y squared less than four.
y is square root of two minus x squared,$y=\sqrt{2-x^{2}}$,https://www.youtube.com/watch?v=44R5HgbrUmc,y is square root of 2 minus x squared.,y is square root of two minus x squared.
 plus minus root of two minus x squared,$\pm\sqrt{2-x^{2}}$,https://www.youtube.com/watch?v=44R5HgbrUmc,plus minus root of 2 minus x squared.,root of 2 minus x squared.
x squared plus y squared plus z squared less than one,$x^{2}+y^{2}+z^{2}<1$,https://www.youtube.com/watch?v=44R5HgbrUmc,x squared plus y squared plus z squared less than 1.,x squared plus y squared plus z squared less than one.
 z equals one minus y,$\displaystyle z=1-y$,https://www.youtube.com/watch?v=44R5HgbrUmc,z equals 1 minus y.,z equals 1 minus y.
z equals square root of one minus x squared minus y squared,$z=\sqrt{1-x^{2}-y^{2}}$,https://www.youtube.com/watch?v=44R5HgbrUmc,z equals square root of 1 minus x square minus y squared.,z equals square root of one minus x squared minus y squared.
one minus y is less than square root of one minus x squared minus y squared,$1-y<\sqrt{1-x^{2}-y^{2}}$,https://www.youtube.com/watch?v=44R5HgbrUmc,1 minus y is less than square root of 1 minus x square minus y squared.,1 minus y is less than square root of 1 minus x squared minus y squared.
negative square root of two y minus two y squared,$-\sqrt{2y-2y^{2}}$,https://www.youtube.com/watch?v=44R5HgbrUmc,negative square root of 2y minus 2y squared.,negative square root of 2y minus 2y squared.
rho times cosine phi,$\rho\cos \phi$,https://www.youtube.com/watch?v=RMBGQtwkoyU,"A few program again, shown on official DNA test iOS zoom.",rho times cosine phi.
rho sine phi cos theta,$\rho\sin\phi\cos\theta$,https://www.youtube.com/watch?v=RMBGQtwkoyU,rho sine phi cos theta.,rho sine phi cos theta.
rho sine phi sine theta. ,$\rho\sin\phi\sin\theta$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Oh sine phi sine theta.,cosine phi sine theta.
 z is rho cos phi,$z=\rho\cos\phi$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Z is hocus-fee.,Z is Rho Cos phi.
 rho is the square root of r squared plus z squared,$\rho=\sqrt{r^{2}+z^{2}}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,rho is the square root of n squared plus z squared.,rho is the square root of r squared plus z squared.
phi equals pi over four,$\phi=\frac{\pi}{4}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,free equals payover 4,phi equals pi over 4.
 z equals r,$\mathcal{z}=\mathcal{r}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Z equals A.,Z equals R.
a squared sine phi d phi d theta,$\displaystyle a^{2}\sin\phi d\phi d\theta$,https://www.youtube.com/watch?v=RMBGQtwkoyU,a squared sine phi d phi d theta,a squared sine phi d phi d theta.
rho squared sine phi d rho d phi d theta,$\rho^2\sin \phi d\rho d\phi d\theta$,https://www.youtube.com/watch?v=RMBGQtwkoyU,"draw square sine phi, 0, d phi, d theta.",rho squared sine phi d rho d phi d theta.
 z equals one over root two,$z=1/\sqrt{2}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Z equals one over root two.,z equals one over root two.
rho equals one over root two cosine phi,$\rho=\frac{1}{\sqrt{2}}\cos{\phi}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,rho equals one over rho 2 cosine phi.,rho equals one over root two cosine phi.
one over root two times secant phi,$\frac{1}{\sqrt{2}}\cdot\sec\phi$,https://www.youtube.com/watch?v=RMBGQtwkoyU,It's one of our root two times second fee.,One over root two times second phi.
cos phi equals one over root two,$\cos\phi=\frac{1}{\sqrt{2}}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,cos phi equals one over 2 with,cos phi equals one over root two.
phi equals pi over four,$\phi=\frac{\pi}{4}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,V equals by other four.,phi equals phi over four.
two pi over three minus five pi over six root two,$2\pi/3-5\pi/6\sqrt{2}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,2 pi over 3 minus 5 pi over 6 root 2.,2pi over 3 minus 5pi over 6 root 2.
rho cubed over three,$\rho^{3}/3$,https://www.youtube.com/watch?v=RMBGQtwkoyU,A不用 le著踴腳illes,The rho cubed over three.
sine phi secant cubed phi,$\sin\phi\sec^{3}\phi$,https://www.youtube.com/watch?v=RMBGQtwkoyU,sine phi second cubed phi,"sine phi, second cubed phi."
 z over rho cubed delta dV,$\frac{z}{\rho^{3}}\Delta dV$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Z over rho cubed delta dV.,z over rho cubed delta dv.
rho cosine phi over rho cubed,$\frac{\rho\cos\phi}{\rho^{3}}$,https://www.youtube.com/watch?v=RMBGQtwkoyU,Roll cut side fee over Hawke hard pub.,rho cosine phi over rho cubed.
minus c times x y z over rho cubed,"$-\frac{c(x,y,z)}{\rho^{3}}$",https://www.youtube.com/watch?v=phk05iSMezA,minus c times xyz of l whole cubed.,"minus c times x, y, z over whole cubed."
xi yj zk ,$\displaystyle xi+yj+zk$,https://www.youtube.com/watch?v=phk05iSMezA,x i plus y j plus z k.,x i plus y j plus z k.
square root of x squared plus y squared plus z squared is equal to a ,$\sqrt{x^{2}+y^{2}+z^{2}}=a$,https://www.youtube.com/watch?v=phk05iSMezA,square root of x square plus y square plus z squared is equal to a.,square root of x squared plus y squared plus z squared is equal to a.
four pi a squared,$4\pi a^{2}$,https://www.youtube.com/watch?v=phk05iSMezA,for państwa square.,4 pi a squared.
z squared over a,$\frac{\mathbb{z}^{2}}{a}$,https://www.youtube.com/watch?v=phk05iSMezA,Z squared over E.,z squared over a.
dS equals a squared sine phi d phi d theta,$dS=a^{2}\sin\phi d\phi d\theta$,https://www.youtube.com/watch?v=phk05iSMezA,ds equals a squared sine phi d phi d theta.,ds equals a squared sine phi d phi d theta.
